Account Name,Account Profile Type,Website
Plum Alley Investments,Member Firm,https://plumalley.co/home
Polaris Partners,Member Firm,www.polarisventures.com
Precursor Ventures,Member Firm,https://precursorvc.com/
Prelude Ventures,Member Firm,www.preludeventures.com
Premji Invest,Member Firm,https://www.premjiinvest.com/
Presidio Ventures,Member Firm,www.presidio-ventures.com
Pritzker Group Venture Capital,Member Firm,www.pritzkergroup.com
PROOF,Member Firm,https://proof.vc/
Qualcomm Ventures,Member Firm,www.qualcomm.com/ventures
Questa Capital,Member Firm,www.questacapital.com
Quoth Capital,Member Firm,https://quoth.capital/
Reach Capital,Member Firm,https://www.reachcapital.com/
Recast Capital,Member Firm,https://recastcapital.com
Redpoint Ventures,Member Firm,www.redpoint.com
Relevance Ventures,Member Firm,https://www.relevanceventures.com
Renaissance Venture Capital,Member Firm,www.renvcf.com
Render Capital,Member Firm,https://render.capital
Renegade Partners,Member Firm,http://www.renegadepartners.com
Research Corporation Technologies,Member Firm,www.rctech.com
RET Ventures,Member Firm,https://www.ret.vc
Rev1 Ventures,Member Firm,www.Rev1Ventures.com
Revolution,Member Firm,www.revolution.com
Ridge Ventures,Member Firm,www.ridge.vc
Riphean Investments,Member Firm,https://www.ripheaninvestments.com
River SaaS Capital,Member Firm,https://www.riversaascapital.com/
RiverVest Venture Partners,Member Firm,www.rivervest.com
RTX Ventures,Member Firm,https://www.rtx.com/who-we-are/ventures
Runway Growth Capital,Member Firm,https://runwaygrowth.com/
S3 Ventures,Member Firm,www.s3vc.com
S32,Member Firm,https://www.s32.com/
SA&M Preccelerator,Member Firm,https://preccelerator.com/
Salesforce Ventures,Member Firm,www.salesforce.com
Samsung Catalyst Fund,Member Firm,http://www.samsung.com/us/ssic/investment/
Sandbox Industries,Member Firm,
Sanderling Ventures,Member Firm,www.sanderling.com
Sapphire Partners,Member Firm,www.sapphireventures.com
Scale Venture Partners,Member Firm,www.scalevp.com
Scout Ventures,Member Firm,www.scoutventures.com
Seae Ventures,Member Firm,https://www.seaeventures.com/
Sequoia Capital,Member Firm,www.sequoiacap.com
ServiceNow Ventures,Member Firm,https://www.servicenow.com/company/ventures.html
Shadow Ventures,Member Firm,https://shadow.vc
Shasta Ventures,Member Firm,www.shastaventures.com
Shield Capital,Member Firm,https://shieldcap.com
Sierra Ventures,Member Firm,www.sierraventures.com
Sila B,Pending Member,https://www.sila-b.com
Síol Venture Capital,Member Firm,https://www.siol.vc/
Sky Technology Ventures LLC,Member Firm,www.jetblueventures.com
Slater Technology Fund,Member Firm,www.slaterfund.com
Sofinnova Investments,Member Firm,www.sofinnova.com
SOSV,Member Firm,https://sosv.com
Spectrum Equity,Member Firm,http://www.spectrumequity.com/
SR One Capital Management,Member Firm,www.srone.com
SRI Capital,Member Firm,http://sricapital.com/
Stepstone Group,Member Firm,https://www.stepstonegroup.com/
Structure Capital,Member Firm,https://structure.vc
Sugati Ventures,Member Firm,https://www.sugativentures.com
Summit Partners,Member Firm,www.summitpartners.com
"Susquehanna Growth Equity, LLC",Member Firm,https://sgep.com/
Sustainly Ventures,Pending Member,https://sustainlyventures.com/subscribe
Sutter Hill Ventures,Member Firm,www.shv.com
SV Angel,Member Firm,www.svangel.com
Switch Ventures,Member Firm,https://switch.vc
Synchrony Ventures,Member Firm,https://www.synchrony.com/
TCV,Member Firm,www.tcv.com
TDF Ventures,Member Firm,www.tdfventures.com
TDK Ventures,Member Firm,www.tdk-ventures.com
Tech Council Ventures,Member Firm,www.techcouncilventures.com
Tech Square Ventures,Member Firm,https://techsquareventures.com
TechNexus Venture Collaborative,Member Firm,https://www.technexus.com
Techstars,Member Firm,http://www.techstars.com/
TELUS Ventures,Member Firm,https://www.telus.com/en/ventures
Ten Eleven,Member Firm,www.1011vc.com
TFX Capital,Member Firm,http://www.tfxcap.com/
The Innovation Space,Member Firm,https://deinnovates.org/first-fund-program
The Venture Reality Fund,Member Firm,https://www.thevrfund.com/
The Vertical Group,Member Firm,www.vertical-group.com
The Veteran Fund,Member Firm,
Third Lake Capital,Pending Member,http://www.tlcapital.com
Third Point Ventures,Member Firm,https://www.thirdpointventures.com/
Third Rock Ventures LLC,Member Firm,www.thirdrockventures.com
Thomson Reuters Ventures,Member Firm,https://www.thomsonreuters.com/en/ventures.html
Threshold Ventures,Member Firm,www.dfj.com
Top Tier Capital Partners,Member Firm,www.toptiercp.com
Toyota Ventures,Member Firm,https://toyota-ai.ventures/
Trailyn VC,Member Firm,https://trailynvc.com
Transform Capital Management,Member Firm,https://transform.vc/
TransLink Capital,Member Firm,www.translinkcapital.com
Treeo VC,Member Firm,https://www.treeo.vc/
Trinity Ventures,Member Firm,www.trinityventures.com
True Ventures,Member Firm,www.trueventures.com
Tusk Venture Partners,Member Firm,www.tuskventures.com
Two Bear Capital,Member Firm,https://www.twobearcapital.com
U.S. Venture Partners,Member Firm,www.usvp.com
Ulu Ventures,Member Firm,http://www.uluventures.com/
Uncork Capital,Member Firm,www.uncorkcapital.com
University of Vermont Health Network Ventures,Member Firm,
Upfront Ventures,Member Firm,www.upfront.com
USAA,Member Firm,www.usaacorpdev.com
UVA LVG Seed Fund,Member Firm,https://lvg.virginia.edu/
"Valia Ventures US, LLC",Member Firm,https://www.valia.vc/
